version_identifier,region_area_identifier
blue,kanto
green,kanto
red,kanto
red-blue,kanto
red-green,kanto
yellow,kanto
gold-silver,kanto
gold-silver,sevii-islands
crystal,kanto
crystal,sevii-islands
ruby-sapphire,johto
emerald,johto
firered-leafgreen,kanto
diamond-pearl,hoenn
platinum,hoenn
heartgold-soulsilver,kanto
heartgold-soulsilver,sevii-islands
black-white,sinnoh
black-2-white-2,sinnoh
x-y,unova
omega-ruby-alpha-sapphire,johto
sun-moon,blueberry-academy
ultra-sun-ultra-moon,blueberry-academy
lets-go-pikachu-lets-go-eevee,kanto
sword-shield,kalos
the-isle-of-armor,kalos
the-crown-tundra,kalos
brilliant-diamond-shining-pearl,hoenn
legends-arceus,alola
scarlet-violet,galar
the-teal-mask,galar
the-indigo-disk,galar
stadium,kanto
stadium-2,kanto
stadium-2,sevii-islands
home,kanto
home,sevii-islands
home,johto
home,hoenn
home,sinnoh
home,unova
home,blueberry-academy
home,kalos
home,alola
home,galar
home-mobile,kanto
home-mobile,sevii-islands
home-mobile,johto
home-mobile,hoenn
home-mobile,sinnoh
home-mobile,unova
home-mobile,blueberry-academy
home-mobile,kalos
home-mobile,alola
home-mobile,galar
global-link,sinnoh
global-link,unova
global-link,blueberry-academy
dream,sinnoh
go,kanto
go,sevii-islands
go,johto
go,hoenn
go,sinnoh
go,unova
go,blueberry-academy
go,kalos
go,alola
go,galar